kode_penyakit;nama_penyakit;deskripsi;penanganan
P1;Colletotrichum (Antraknosa);Bercak hitam melingkar pada daun batang atau buah yang terinfeksi mengering timbul bintik-bintik hitam berupa duri-duri jamur penebalan tulang daun dan berwarna coklat;Penyemprotan fungisida benomil dan fentin-hidroksida
P2;Sclerotium (Busuk Pangkal Batang);Busuk pangkal batang disertai miselium putih tanaman layu mendadak akhirnya mati terdapat bercak coklat pada pangkal batang daun timbul bercak merah dengan pinggir coklat tua daun menguning atau layu;Perbaikan aerasi, pengaturan jarak tanaman, penggiliran tanaman dan memusnahkan tanaman yang terinfeksi
P3;Rhizoctonia (Busuk Akar dan Batang);Daun menguning bercak coklat hingga merah pada pangkal batang dan akar tanaman muda busuk pada akar mati mendadak tanaman keriput dan mengering muncul miselium putih seperti sarang laba-laba saat lembab;Pencabutan tanaman sakit, pembenaman atau pembakaran tanaman dan penyemprotan fungisida
P4;Pseudomonas syringae (Hawar Bakteri);Daun menunjukkan bercak doreng tidak beraturan coklat atau kuning bercak tembus cahaya jaringan daun mati bercak kebasahan pada sisi bawah daun bercak persegi panjang pada batang polong atau benih bercak abu-abu sampai coklat berminyak dan mengering;Penyemprotan pestisida fungisida dan bakterisida berbahan tembaga, rotasi tanaman, penggunaan bakteri antagonis dan aplikasi Trichoderma spp
P5;Pythium (Busuk Akar);Pangkal batang dan akar busuk basah berwarna kecoklatan tanaman layu sering menyebabkan kematian mendadak dan mati bibit;Perbaikan drainase, rotasi tanaman, pemberian fungisida thiram dan pengendalian hayati dengan jamur atau bakteri antagonis
P6;Fusarium (Layu Fusarium);Layu mendadak pada daun akar samping membusuk tudung akar busuk dan basah tanaman mati;Perbaikan drainase, aerasi tanah, solarisasi penggunaan mulsa plastik dan pemberian fungisida
P7;Bercak Daun;Muncul bercak bulat kuning bercak abu-abu atau hitam pada daun daun berlubang atau sobek dan gugur batang muda berwarna coklat kemerahan jaringan sekitar bercak mengering;Membersihkan lahan rotasi tanaman dan pemberian fungisida berbahan aktif mankozeb
P8;Karat Daun (Cercospora spp.);Muncul bercak klorotik tidak beraturan pada permukaan daun bercak coklat kemerahan terutama di bawah daun bercak juga muncul di batang atau tangkai daun;Membersihkan lahan dari sisa tanaman sakit, menanam dengan jarak lebih lebar, memperbaiki drainase dan melakukan pemangkasan pucuk tanaman
